Station_ID,Stop_ID,Station_Name,Destination,Route,Run_Number,Prediction_Time,Arrival_Time,Headway,Time_Of_Week,Time_Of_Day
41440,30278,Addison,Loop,Brown,428,2022-10-01T00:12:00,2022-10-01T00:13:00,14.0,Saturday,Night
41440,30278,Addison,Loop,Brown,431,2022-10-01T00:25:00,2022-10-01T00:26:00,13.0,Saturday,Night
41440,30278,Addison,Loop,Brown,432,2022-10-01T00:40:00,2022-10-01T00:41:00,15.0,Saturday,Night
41440,30278,Addison,Loop,Brown,433,2022-10-01T00:54:00,2022-10-01T00:55:00,14.0,Saturday,Night
41440,30278,Addison,Loop,Brown,434,2022-10-01T01:09:00,2022-10-01T01:10:00,15.0,Saturday,Night
41440,30278,Addison,Loop,Brown,435,2022-10-01T01:21:00,2022-10-01T01:22:00,12.0,Saturday,Night
41440,30278,Addison,Loop,Brown,436,2022-10-01T01:42:00,2022-10-01T01:43:00,21.0,Saturday,Night
41440,30278,Addison,Loop,Brown,401,2022-10-01T04:11:00,2022-10-01T04:12:00,,Saturday,Night
41440,30278,Addison,Loop,Brown,402,2022-10-01T04:25:00,2022-10-01T04:26:00,14.0,Saturday,Night
41440,30278,Addison,Loop,Brown,404,2022-10-01T04:59:00,2022-10-01T05:00:00,34.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,404,2022-10-01T05:00:00,2022-10-01T05:01:00,1.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,405,2022-10-01T05:25:00,2022-10-01T05:26:00,25.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,401,2022-10-01T05:54:00,2022-10-01T05:55:00,29.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,402,2022-10-01T06:16:00,2022-10-01T06:17:00,22.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,404,2022-10-01T06:35:00,2022-10-01T06:36:00,19.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,405,2022-10-01T06:57:00,2022-10-01T06:58:00,22.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,408,2022-10-01T07:15:00,2022-10-01T07:16:00,18.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,401,2022-10-01T07:35:00,2022-10-01T07:36:00,20.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,409,2022-10-01T07:55:00,2022-10-01T07:56:00,20.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,402,2022-10-01T08:32:00,2022-10-01T08:33:00,37.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,411,2022-10-01T08:47:00,2022-10-01T08:48:00,15.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,408,2022-10-01T09:02:00,2022-10-01T09:03:00,15.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,412,2022-10-01T09:16:00,2022-10-01T09:17:00,14.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,409,2022-10-01T09:37:00,2022-10-01T09:38:00,21.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,401,2022-10-01T09:53:00,2022-10-01T09:54:00,16.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,402,2022-10-01T10:08:00,2022-10-01T10:09:00,15.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,411,2022-10-01T10:23:00,2022-10-01T10:24:00,15.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,404,2022-10-01T10:41:00,2022-10-01T10:42:00,18.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,405,2022-10-01T10:57:00,2022-10-01T10:58:00,16.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,414,2022-10-01T11:14:00,2022-10-01T11:15:00,17.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,401,2022-10-01T11:27:00,2022-10-01T11:28:00,13.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,402,2022-10-01T11:42:00,2022-10-01T11:43:00,15.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,415,2022-10-01T11:56:00,2022-10-01T11:57:00,14.0,Saturday,Morning
41440,30278,Addison,Loop,Brown,411,2022-10-01T12:10:00,2022-10-01T12:11:00,14.0,Saturday,Afternoon
41440,30278,Addison,Loop,Brown,404,2022-10-01T12:27:00,2022-10-01T12:28:00,17.0,Saturday,Afternoon
41440,30278,Addison,Loop,Brown,405,2022-10-01T12:42:00,2022-10-01T12:43:00,15.0,Saturday,Afternoon
41440,30278,Addison,Loop,Brown,408,2022-10-01T12:57:00,2022-10-01T12:58:00,15.0,Saturday,Afternoon
41440,30278,Addison,Loop,Brown,412,2022-10-01T13:11:00,2022-10-01T13:12:00,14.0,Saturday,Afternoon
41440,30278,Addison,Loop,Brown,415,2022-10-01T13:24:00,2022-10-01T13:25:00,13.0,Saturday,Afternoon
41440,30278,Addison,Loop,Brown,409,2022-10-01T13:41:00,2022-10-01T13:42:00,17.0,Saturday,Afternoon
41440,30278,Addison,Loop,Brown,418,2022-10-01T13:55:00,2022-10-01T13:56:00,14.0,Saturday,Afternoon
41440,30278,Addison,Loop,Brown,411,2022-10-01T14:11:00,2022-10-01T14:12:00,16.0,Saturday,Afternoon
41440,30278,Addison,Loop,Brown,408,2022-10-01T14:27:00,2022-10-01T14:28:00,16.0,Saturday,Afternoon
41440,30278,Addison,Loop,Brown,420,2022-10-01T14:51:00,2022-10-01T14:52:00,24.0,Saturday,Afternoon
41440,30278,Addison,Loop,Brown,421,2022-10-01T15:11:00,2022-10-01T15:12:00,20.0,Saturday,Afternoon
41440,30278,Addison,Loop,Brown,409,2022-10-01T15:31:00,2022-10-01T15:32:00,20.0,Saturday,Afternoon
41440,30278,Addison,Loop,Brown,411,2022-10-01T15:51:00,2022-10-01T15:52:00,20.0,Saturday,Afternoon
41440,30278,Addison,Loop,Brown,422,2022-10-01T16:11:00,2022-10-01T16:12:00,20.0,Saturday,Afternoon
41440,30278,Addison,Loop,Brown,420,2022-10-01T16:30:00,2022-10-01T16:31:00,19.0,Saturday,Afternoon
41440,30278,Addison,Loop,Brown,421,2022-10-01T16:51:00,2022-10-01T16:52:00,21.0,Saturday,Afternoon
41440,30278,Addison,Loop,Brown,415,2022-10-01T17:11:00,2022-10-01T17:12:00,20.0,Saturday,Afternoon
41440,30278,Addison,Loop,Brown,414,2022-10-01T17:31:00,2022-10-01T17:32:00,20.0,Saturday,Afternoon
41440,30278,Addison,Loop,Brown,420,2022-10-01T17:54:00,2022-10-01T17:55:00,23.0,Saturday,Afternoon
41440,30278,Addison,Loop,Brown,427,2022-10-01T18:11:00,2022-10-01T18:12:00,17.0,Saturday,Evening
41440,30278,Addison,Loop,Brown,428,2022-10-01T18:25:00,2022-10-01T18:26:00,14.0,Saturday,Evening
41440,30278,Addison,Loop,Brown,415,2022-10-01T18:40:00,2022-10-01T18:41:00,15.0,Saturday,Evening
41440,30278,Addison,Loop,Brown,422,2022-10-01T18:53:00,2022-10-01T18:54:00,13.0,Saturday,Evening
41440,30278,Addison,Loop,Brown,427,2022-10-01T19:43:00,2022-10-01T19:44:00,50.0,Saturday,Evening
41440,30278,Addison,Loop,Brown,422,2022-10-01T19:49:00,2022-10-01T19:50:00,6.0,Saturday,Evening
41440,30278,Addison,Loop,Brown,428,2022-10-01T20:09:00,2022-10-01T20:10:00,20.0,Saturday,Evening
41440,30278,Addison,Loop,Brown,418,2022-10-01T20:31:00,2022-10-01T20:32:00,22.0,Saturday,Evening
41440,30278,Addison,Loop,Brown,420,2022-10-01T20:50:00,2022-10-01T20:51:00,19.0,Saturday,Evening
41440,30278,Addison,Loop,Brown,421,2022-10-01T21:12:00,2022-10-01T21:13:00,22.0,Saturday,Night
41440,30278,Addison,Loop,Brown,422,2022-10-01T21:29:00,2022-10-01T21:30:00,17.0,Saturday,Night
41440,30278,Addison,Loop,Brown,427,2022-10-01T21:51:00,2022-10-01T21:52:00,22.0,Saturday,Night
41440,30278,Addison,Loop,Brown,420,2022-10-01T22:10:00,2022-10-01T22:11:00,19.0,Saturday,Night
41440,30278,Addison,Loop,Brown,428,2022-10-01T22:30:00,2022-10-01T22:31:00,20.0,Saturday,Night
41440,30278,Addison,Loop,Brown,421,2022-10-01T22:50:00,2022-10-01T22:51:00,20.0,Saturday,Night
41440,30278,Addison,Loop,Brown,422,2022-10-01T23:10:00,2022-10-01T23:11:00,20.0,Saturday,Night
41440,30278,Addison,Loop,Brown,420,2022-10-01T23:39:00,2022-10-01T23:40:00,29.0,Saturday,Night
41440,30278,Addison,Loop,Brown,428,2022-10-02T00:08:00,2022-10-02T00:09:00,29.0,Sunday,Night
