Station_ID,Stop_ID,Station_Name,Destination,Route,Run_Number,Prediction_Time,Arrival_Time,Headway,Time_Of_Week,Time_Of_Day
41440,30278,Addison,Loop,Brown,404,2022-12-01T10:48:00,2022-12-01T10:49:00,17.0,Weekday,Morning
41440,30278,Addison,Loop,Brown,405,2022-12-01T11:04:00,2022-12-01T11:05:00,16.0,Weekday,Morning
41440,30278,Addison,Loop,Brown,409,2022-12-01T11:21:00,2022-12-01T11:22:00,17.0,Weekday,Morning
41440,30278,Addison,Loop,Brown,406,2022-12-01T11:38:00,2022-12-01T11:39:00,17.0,Weekday,Morning
41440,30278,Addison,Loop,Brown,407,2022-12-01T11:54:00,2022-12-01T11:55:00,16.0,Weekday,Morning
41440,30278,Addison,Loop,Brown,402,2022-12-01T12:08:00,2022-12-01T12:09:00,14.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,403,2022-12-01T12:18:00,2022-12-01T12:19:00,10.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,404,2022-12-01T12:32:00,2022-12-01T12:33:00,14.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,405,2022-12-01T12:45:00,2022-12-01T12:46:00,13.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,410,2022-12-01T12:56:00,2022-12-01T12:57:00,11.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,406,2022-12-01T13:16:00,2022-12-01T13:17:00,20.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,407,2022-12-01T13:32:00,2022-12-01T13:33:00,16.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,412,2022-12-01T13:43:00,2022-12-01T13:44:00,11.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,413,2022-12-01T13:55:00,2022-12-01T13:56:00,12.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,409,2022-12-01T14:08:00,2022-12-01T14:09:00,13.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,414,2022-12-01T14:18:00,2022-12-01T14:19:00,10.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,410,2022-12-01T14:32:00,2022-12-01T14:33:00,14.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,415,2022-12-01T14:44:00,2022-12-01T14:45:00,12.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,418,2022-12-01T14:58:00,2022-12-01T14:59:00,14.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,417,2022-12-01T15:10:00,2022-12-01T15:11:00,12.0,Weekday,Afternoon
